index,rank,match%,avscd,reganroi,movecount,sc,gm,rating,sourcefile,startdate,enddate
60,154282,53.2,0.102,47.6,284,4.5,9,2525,NoviSadTS157MixFeb2021_SF11d20-30pv1.sc4,2/27/2021,2/27/2021
61,154725,50.5,0.11,47.6,204,3.5,6,2656,Coinbase14G10RapidSwiss14May2022_SF11d20-30pv1.sc4,5/14/2022,5/14/2022
62,154876,55.9,0.108,47.6,102,4.5,5,2620,LosAngelesOpenCCAG55ICC2175Dec2020_SF11d20-30pv1.sc4,12/5/2020,12/5/2020
63,158498,55.4,0.097,47.3,258,5.5,9,2609,SharjahMastersG120Sep2021_SF11d20-30pv1.sc4,9/20/2021,9/20/2021
64,158506,53,0.176,47.3,117,2.5,4,2459,PROLeagueRapidKO2020_SF11d20-30pv1.sc4,9/26/2020,9/26/2020
65,159230,59.6,0.109,47.3,193,4.5,7,2645,VerganiCupJan2021Avail_SF11d20-30pv1.sc4,12/30/2021,12/30/2021
66,163388,54.6,0.116,47,526,4,15,2687,FTXCryptoCupG25RapidAug2022_SF11d20-30pv1.sc4,8/21/2022,8/21/2022
67,165775,52.7,0.106,46.8,315,6,9,2508,NiksicKontoMemApr2021_SF11d20-30pv1.sc4,4/29/2021,4/29/2021
68,169178,47.7,0.116,46.5,130,0.5,4,2637,Coinbase10G10RapidSwiss16Apr2022_SF11d20-30pv1.sc4,4/16/2022,4/16/2022
69,169912,53.5,0.136,46.4,282,5,9,2642,Coinbase3G10RapidSwiss26Feb2022_SF11d20-30pv1.sc4,2/26/2022,2/26/2022
70,170279,46.8,0.158,46.4,504,10.5,18,2635,RigaLindoresAbbeyTalMemG5BlitzNov2021_SF11d20-30pv1.sc4,11/8/2021,11/8/2021
71,170730,52.8,0.132,46.4,286,6,9,2645,DubaiHamdanBinRashidG25RapidDec2021_SF11d20-30pv1.sc4,12/8/2021,12/8/2021
73,171806,52.5,0.186,46.3,118,2.5,4,2459,PROLeagueG12RapidKO2020TWIC_SF11d20-30pv1.sc4,9/26/2020,9/26/2020
74,176379,50.2,0.098,45.9,277,6,9,2525,ParacinOrbis1GM2021cat6_SF11d20-30pv1.sc4,2/11/2021,2/11/2021
75,178397,53.8,0.121,45.7,186,5.5,9,2525,BelgradeRadnickiChessT2RGMFeb2021cat9_SF11d20-30pv1.sc4,2/25/2021,2/25/2021
76,179365,51.1,0.157,45.6,472,8,16,2465,PROChessLeagueRapidStage2020_SF11d20-30pv1.sc4,9/26/2020,9/26/2020
77,181561,57.4,0.103,45.4,183,3,5,2687,TURchTSuperLeagueAug2022_SF11d20-30pv1.sc4,8/27/2022,8/27/2022
78,183104,50.7,0.15,45.2,854,16,28,2465,PROLeagueG12RapidStage2020TWIC_SF11d20-30pv1.sc4,9/26/2020,9/26/2020
79,183511,55.4,0.124,45.2,130,2,4,2618,NationalOpenG80ICC2152Nov2020_SF11d20-30pv1.sc4,11/22/2020,11/22/2020
80,185116,55.5,0.105,45,218,4,6,2645,SunwaySitgesDec2021Avail_SF11d20-30pv1.sc4,12/23/2020,12/23/2020
81,186545,57.4,0.114,44.8,251,7.5,10,2635,PresidentOfUZBPrizesNov2021Avail_SF11d20-30pv1.sc4,11/19/2021,11/19/2021
82,187119,53.8,0.089,44.8,273,4.5,9,2678,JermukAvagyanMemJune2022cat16_SF11d20-30pv1.sc4,6/28/2022,6/28/2022
83,187744,50,0.119,44.7,124,4,5,2526,BassanoSpringWeekendMar2021Avail_SF11d20-30pv1.sc4,3/14/2021,3/14/2021
84,187977,54.1,0.15,44.7,148,3,4,2465,USClassMasterNov2020Avail_SF11d20-30pv1.sc4,11/1/2020,11/1/2020
85,189469,49.2,0.16,44.5,2417,42.5,82,2637,ChessComJuniorSpeedBlitzKOApr2022_SF11d20-30pv1.sc4,6/6/2022,6/6/2022
86,191289,55.8,0.134,44.3,251,4.5,9,2526,Bassano2GMMixMar2021Avail_SF11d20-30pv1.sc4,3/28/2021,3/28/2021
87,191725,45.6,0.18,44.2,248,6,11,2645,DubaiHamdanBinRashidBlitzDec2021_SF11d20-30pv1.sc4,12/9/2021,12/9/2021
88,192594,45.4,0.121,44.1,163,1.5,5,2637,Coinbase12G10RapidSwiss30Apr2022_SF11d20-30pv1.sc4,4/30/2022,4/30/2022
89,192963,55.6,0.176,44.1,180,2.5,6,2637,Coinbase8G10RapidSwiss02Apr2022_SF11d20-30pv1.sc4,4/2/2022,4/2/2022
91,194854,50.6,0.132,43.8,168,1.5,5,2688,Coinbase21G10RapidSwiss16July2022_SF11d20-30pv1.sc4,7/16/2022,7/16/2022
92,196186,52.4,0.132,43.7,273,6,9,2687,Coinbase25G10RapidSwiss13Aug2022_SF11d20-30pv1.sc4,8/13/2022,8/13/2022
93,199071,44.9,0.209,43.2,394,8,11,2465,ChessComTitledTuesdayBlitz30June2020_SF11d20-30pv1.sc4,6/30/2020,6/30/2020
94,201599,50.6,0.165,42.8,85,1.5,3,2688,Coinbase22G12RapidKO24July2022_SF11d20-30pv1.sc4,7/24/2022,7/24/2022
95,205765,49.1,0.159,42,163,1.5,7,2642,Coinbase05G10RapidSwiss12Mar2022_SF11d20-30pv1.sc4,3/12/2022,3/12/2022
97,209399,45.5,0.184,41.2,963,9,32,2571,ChessComJuniorSpeedBlitzKOJuly2021_SF11d20-30pv1.sc4,7/8/2022,7/8/2022
